system:index,area_km2,year,class,band,class_name,.geo
0_0_0,5983.741658,1985,3,classification_1985,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,9167.95793,1985,4,classification_1985,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,979.5184196,1985,11,classification_1985,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,840.0943156,1985,12,classification_1985,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2751.512287,1985,15,classification_1985,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.3673233436,1985,20,classification_1985,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,5851.250333,1985,21,classification_1985,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,55.74763157,1985,24,classification_1985,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,312.0021536,1985,25,classification_1985,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,288.3815186,1985,29,classification_1985,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,228.1594762,1985,33,classification_1985,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,1031.647884,1985,39,classification_1985,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,234.6400323,1985,41,classification_1985,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,5776.421779,1986,3,classification_1986,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,8749.158732,1986,4,classification_1986,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,633.6103325,1986,11,classification_1986,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,1182.418475,1986,12,classification_1986,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,3215.764437,1986,15,classification_1986,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,0.3681835984,1986,20,classification_1986,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,6166.499136,1986,21,classification_1986,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,62.0546656,1986,24,classification_1986,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,200.2012791,1986,25,classification_1986,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,288.4133094,1986,29,classification_1986,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,183.2594374,1986,33,classification_1986,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,1223.236554,1986,39,classification_1986,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,43.6146423,1986,41,classification_1986,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
